y,x,listing,parent_org,street,street2,hours,id,phone,website,description,hours,tags,ages,religious_organization
44.0475013,-123.119818,Looking Glass Crisis Line,,,,,10,,,,,,,
44.0523743,-123.1068742,Looking Glass Station 7,,,,,11,,,,,,,
44.046818,-123.0875039,HOOTS,,,,,12,,,,,,,
45.4862123,-122.6750292,YouthLine,,,,,13,,,,,,,
44.0722409,-121.2668054,Mobile Crisis Action Team,,,,,14,,,,,,,
44.0513182,-121.3323743,The LOFT (Living Options For Teens),,,,,15,,,,,,,
44.0663871,-121.3183471,Grandma's House,,,,,16,,,,,,,
44.0422576,-123.0749236,Lane County Non-Emergency Call Center,,,,,17,,,,,,,
44.0610306,-123.072954,Lane County Behavioral Health,,,,,18,,,,,,,
44.0915176,-123.0640601,Cascade Health,,,,,19,,,,,,,
44.07808,-123.068413,Center For Community Counseling,,,,,20,,,,,,,
44.0462189,-123.0886052,Center for Family Development,,,,,21,,,,,,,
43.262498,-123.348057,United Community Action Network,,,,,22,,,,,,,
43.2133826,-123.3510805,Compass Behavioral Health,,,,,23,,,,,,,
44.0524608,-123.0954155,Lane County WIC,,,,,24,,,,,,,
44.0442377,-122.982768,Willamalane - Keefer Center,,,,,25,,,,,,,
43.8024524,-123.0520741,Family Relief Nursery - Cottage Grove,,,,,26,,,,,,,
44.0315613,-123.1183122,Relief Nursery - Eugene,,,,,27,,,,,,,
44.0528682,-122.9637054,Relief Nursery - Springfield,,,,,28,,,,,,,
43.263255,-123.350974,Family Development Center - Roseburg,,,,,29,,,,,,,
44.0607969,-123.0761152,Parenting Now,,,,,30,,,,,,,
44.0424,-123.089439,Ophelia's Place,,,,,31,,,,,,,
44.2259284,-123.2071367,Ophelia's Place,,,,,32,,,,,,,
44.0320082,-123.0498216,Northwest Youth Corps,,,,,33,,,,,,,
44.0475866,-123.0887142,Looking Glass Counseling Program,,,,,34,,,,,,,
44.051212,-123.0049678,Looking Glass Counseling Program (Springfield),,,,,35,,,,,,,
44.0461085,-123.0893174,"15th Night, Rapid Access Network",,,,,36,,,,,,,
44.0506031,-122.9638203,The Arc Lane County,,,,,37,,,,,,,
44.9426147,-123.0351991,Youth Conservation Corps,,,,,38,,,,,,,
45.5704807,-122.6093773,Native American Youth and Family Center,,,,,39,,,,,,,
45.5223455,-122.6799387,New Avenues for Youth,,,,,40,,,,,,,
43.2247441,-123.3460931,Casa De Belen,,,,,41,,,,,,,
44.0538142,-123.0924009,TRANS*ponder,,,,,42,,,,,,,
44.027674,-123.0826414,LGBTQ Youth Group,,,,,43,,,,,,,
45.515771,-122.6871101,SMYRC,,,,,44,,,,,,,
45.5192041,-122.6769099,Basic Rights Oregon,,,,,45,,,,,,,
45.5166477,-122.6534125,Oregon Foster Youth Connection,,,,,46,,,,,,,
45.4427234,-122.639982,Youth and Young Adult Engagement Advisory (YYEA),,,,,47,,,,,,,
45.355345,-122.604155,Clackamas Youth Action Board,,,,,48,,,,,,,
44.939364,-123.028663,Oregon Youth Development Council,,,,,49,,,,,,,
45.5120512,-122.6792559,Young Adult Leadership Council - Portland Chapter,,,,,50,,,,,,,
43.7975547,-123.0637217,Cottage Grove Youth Advisory Council (YAC),,,,,51,,,,,,,
44.0462679,-123.082618,Young Adult Leadership Council - Eugene Chapter,,,,,52,,,,,,,
44.9602387,-122.9842028,Young Adult Leadership Council - Mid Valley Chapter,,,,,53,,,,,,,
44.0485278,-123.0948639,15th Night Youth Action Council,,,,,54,,,,,,,
43.2284735,-123.3467956,Umpqua Valley Youth for Christ,,,,,55,,,,,,,
